user_id,first_order_day,most_used_city,count_cuisines,voucher_user,voucher_amount,member_get_member_viral,average_order_value,cnt_orders_7d_fwd,cnt_orders_14d_fwd,cnt_orders_30d_fwd,cnt_orders_60d_fwd,cnt_orders_90d_fwd,cnt_orders_6m_fwd
2986536,10/04/2016,London,1,0,,,27.36,1,1,1,1,1,1
1157456,01/12/2015,London,5,0,,,24.9942,3,6,7,7,7,7
5217318,17/07/2016,London,1,0,,,20.28,1,1,1,1,1,1
761596,17/10/2015,London,2,1,10,0,33.9,1,1,1,1,2,2
4746904,01/07/2016,London,2,0,,,36.45,1,1,2,2,2,2
792118,20/10/2015,London,1,0,,,79.32,1,1,1,1,1,1
1449846,01/01/2016,London,1,0,,,21.48,1,1,1,1,1,1
530226,04/09/2015,London,2,0,,,23.592,1,1,1,1,2,2
1190720,05/12/2015,London,1,0,,,18,1,1,1,1,1,1
2939690,08/04/2016,Manchester,1,0,,,26.04,1,1,1,1,1,1
3374370,30/04/2016,London,1,0,,,28.8,1,1,1,1,1,1
1689178,24/01/2016,London,1,0,,,35.76,1,1,1,1,1,1
1080924,13/05/2016,London,2,0,,,33.78,2,2,3,3,3,3
567262,13/09/2015,London,10,1,10,0,29.66016,1,1,2,3,3,7
3229774,23/04/2016,London,1,0,,,34.2,1,1,1,1,1,1
1473754,03/01/2016,London,1,0,,,25.92,1,1,1,1,1,1
328978,09/07/2015,London,8,0,,,28.40796,4,7,13,13,13,13
248662,03/06/2015,London,1,0,,,33.966,1,1,1,1,1,2
4697774,29/06/2016,London,2,0,,,38.97,1,2,2,2,2,2
1254178,11/12/2015,Manchester,3,0,,,34.416,1,1,1,1,3,4
1376486,21/12/2015,London,1,0,,,47.4,1,1,1,1,1,1
2321062,05/03/2016,London,2,0,,,25.512,1,2,5,8,9,10
778364,18/10/2015,London,1,1,10,0,25.92,1,1,1,1,1,1
1726582,27/01/2016,London,0,0,,,56.4,1,1,1,1,1,1
2827610,02/04/2016,London,1,0,,,27.6,2,2,2,2,2,2
1600418,17/01/2016,London,3,0,,,26.13,2,2,4,4,4,4
1629240,22/01/2016,London,2,0,,,40.74,1,2,2,2,2,2
4709432,30/06/2016,London,1,0,,,18,1,1,1,1,1,1
680966,05/10/2015,London,1,0,,,21.6,1,1,1,1,1,1
502796,29/08/2015,London,1,0,,,27.6,1,1,1,1,1,1
136144,27/06/2015,London,4,0,,,25.56996,1,1,1,3,3,4
2901364,06/04/2016,London,3,0,,,23.1,1,1,1,2,4,6
2470334,13/03/2016,London,1,0,,,32.22,1,1,1,1,1,1
466968,21/08/2015,London,1,0,,,165.6,1,1,1,1,1,1
3145664,19/04/2016,Manchester,3,0,,,37.81992,2,3,3,3,3,3
914552,05/11/2015,London,1,0,,,43.8,1,1,1,1,1,1
983618,13/11/2015,London,1,1,10,0,39.9,1,1,1,1,1,1
2712694,26/03/2016,London,1,0,,,30.18,1,1,1,2,2,2
3843300,27/06/2016,London,1,0,,,26.4,1,1,1,1,1,1
4113328,04/06/2016,London,1,0,,,19.68,1,1,1,1,1,1
364444,19/07/2015,Manchester,6,0,,,29.17368,2,2,2,2,2,3
4694940,29/06/2016,London,3,0,,,21,1,3,3,3,3,3
3769138,19/05/2016,London,2,0,,,25.8,1,1,2,2,2,2
1134410,29/11/2015,London,1,0,,,23.94,1,1,1,1,1,1
4567226,24/06/2016,London,1,0,,,26.16,2,2,2,2,2,2
